sentiment_label,stars,sentiment_confidence,text,text_length
Negative,4,0.944,"i came here for the first time with my roommates. some other friends of mine had me hyped up for this place since it reopened. unfortunately, i did not try the sushi or the korean barbecue so i will have to come back to review those. instead, i ordered tempura udon.  my experience with udon at most places isn't so great. i chatter a lot when i go out to eat with friends so i'm usually a slow eater. halfway through the meal, the udon noodles tend to break apart and slowly dissolve into the soup. this was definitely not the case at takamatsu. i got to socialize and catch up with friends while enjoying udon that remained soft without disintegrating into the broth.",670
Negative,4,0.944,"i recommend this business, but every time i go there's something slightly wrong with my order. nice family though!",114
Negative,4,0.944,"the food and the baked goods are quite tasty; however, today's register attendee lacked warmth and was not very helpful in assisting us with our order.  in fact, it could be said that she would be better off working at the dmv.",227
Negative,4,0.944,"the food is delicious but it can take a while to get service, especially if there are a lot of people coming in to place take-out orders.",137
Negative,4,0.944,"just moved back to tucson and i wanted a hot dog and i was a bit disappointed, i don't remember the hot dog being so small from when they first started out. the dog is only about half the size of the bun. it's still tasty but they seemed to have gotten cheap with the dog",271
Negative,4,0.944,"i've eaten here twice once dining in and once for takeout the food is always amazing,  i've had the lavish chicken wrap and the salmon plate 4 very good and i would order again. but it feels like there consistently short staffed the food takes a long time to come out and the server seem overworked. whoever is running this place might want to think about adding some more staff.(they may just be running less staff due to covid, but it seems there is enough business to have some one working to go orders, and someone to focus on tables)",538
Negative,4,0.943,the food was just okay. not that awesome in taste. the mist in the outdoor sitting gets in the food when windy and this worried me about getting legionella. i'm a clean freak however so i tend to be hyper-aware of potential germs. i would eat inside next time. cost is on par with most restaurants in the area.,310
Neutral,5,0.938,"background  north has a number of locations in arizona & texas. i just had lunch at the tucson location. skyline in tucson is a beautiful and north is very pretty. (see pics)  there is an impressive bar, a large dining room with edgy lighting and a cozy patio.  the menu  the menu includes appetizers/small plates, salads, pastas & mains. (see pics) appetizers:  zucca chips braised meatballs calamari bruschetta grilled cauliflower  black mediterranean muscles truffle garlic bread  grilled artichoke  chef's board (which i had - see pics) pastas:  spaghetti & meatballs chicken pesto cheese tortellini bolognese  strozzapreti squid ink malafoine  ricotta gnocchi (which i had) mains:  grilled brazino short ribs diver scallops chicken parmesan roasted chicken ny strip atlantic salamon desserts:  bombolini olive oil cake dark chocolate tart tiramisu affogati gelato salted caramel budino conclusion  5/5 recommend  of note *hours: lunch: 11am - 4pm dinner: 4pm - 9:30pm/10:30pm fri & sat/9 sun happy hour: 3pm - 6pm *for more information: northitaliarestaurant.com",1081
Neutral,1,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. mi tierra: eggy and bland. green see photos.,166
Neutral,1,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. viva burrito: frozen cheese inside. green see photos.,175
Neutral,1,0.937,"the company boasts a brewery and a separate bistro location within the city limits.   we drove the ten minutes to the bistro and found ourselves in the middle of a monkey-muraled mishap. not the logo, just the impression it made.  it was everywhere; painted on the building's side in the style of an antiquated graphic stamp, on the floor, on the ceiling and the walls, on our table, in the decor, on the bar, the beers, the bathrooms...cute.  the iconic monkey's impressive coup de main may be the only reason for the continued survival of the business.  the beer isn't bad either, especially the...monkey shine?  monkey--anyone need further elaboration..? we ordered two appetizers to begin:  ""nachos nimbus"" and ""monkey burn.""  (menu: http://www.nimbusbeer.com/bistro/bistro%20menu.pdf) the menu brags a delicious description of the ""house-made cheese blend"" that sits atop the ""house-made tortilla chips"" of the nimbus nachos.  my question, should a member of the nimbus staff wander across this critique, is: at who's frigg'n house was this food made? i found a comparable ""cheese blend"" in that handy machine at the corner store.  you know the one; you pulled the lever a couple dozen times at 3am--underage but smashed out of your mind and sick with the munchies.  it is a sauce, a cheese sauce, and whether you open the large bags that hold it all together in the back of a restaurant or the back of a volkswagen, it doesn't belong in a bistro. can i get a ""circle k,"" anybody..?  also, there is avocado, there is salsa, but there was not a drop of the ""avocado salsa"" mentioned on the menu anywhere on the dish.  there was corn in my salsa, no avocado, and while there may have been chicken on the nachos as ordered--gustavo and i  debated whether the thin slivers of white spread with thrifty sense throughout were meat or, as i posited, ""just our imaginations""-- it certainly wasn't enough chicken to merit it as a choice we needed to make while ordering. now, both my man and i have an appreciation for spicy foods.  the eating of them is traditional in his culture and has always been a favorite indulgence of mine.  but ""monkey burn""... have you ever had the capsicum annum variety black pearl straight from a botanist's garden?  i have, a good friend of mine grows a few of the hearty plants.  the small pepper, which does indeed resemble a tiny black pearl at its start, packs a wallop that will leave your eyes watering and your mouth begging for a piece of bread. it rates much higher in scoville heat units (shu), coming in at 30,000, than the jalapeño at 2,000-5,000 (google a diagram.) after eating ""monkey burn"" i'm convinced the chefs at nimbus have learned how to use a chili shaped cake pan to mold, bread and fry police-grade pepper spray. suffice it to say, we took those to go.  after i d'breaded them at home, they were so raw that i stored and used them sparingly in some homemade salsa. the coup de grâce:  it could have been a saving grace, but the bacon mac & cheese ",4053
Neutral,5,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. las cazuelitas: no yellow cheese. red   see photos.,172
Neutral,5,0.936,"georgia chopped pork better than anything i've eaten in georgia.  mmmm.   under $7 for lunch, $9 for a sandwich, and $11 for a dinner platter.",143
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. el torero: unstuffed canned chiles. green see photos.,175
Neutral,5,0.935,"pick 2, fuji apple chicken salad, broccoli and cheese soup with side of potato chips and regular drink. pro tip: dip chips in soup before consuming",148
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. guillermo's double l: open since 1948? green see photos.,178
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. filiberto's: free meat chunk. green see photos.,169
Neutral,5,0.935,"a mom and pop mexican dive with a uniquely broad offering of higher end ""street food.""  mom typically mans the counter and pop mans the stove. we had three different types of tacos:  carnitas; birria, and carne asada.  the carnitas comes like a ""smashed"" and seared wad of shredded pork; the birria is a juicy fistful of simmered beef; and the carnitas consists chopped steak.  all come heaping with their own garnishments, ranging from corn salsa to tomato/guacamole.  by far, the first two meats were the tastiest (the tiny, cubed carne asada tends to be dry/overdone)  but in all cases you get a hefty portion of protein on the standard-sized (5? inch round) street-style, corn tortillas.  they also came with red and green salsas on the side, which tasted fresh, tangy. pointers:  taco tuesday is a deal at 3/$5.99 for most proteins, including all three above.  all of the above also came with a chipotle-like mayo/sauce already spread onto the taco.  we decided that next time we'd skip the sauce and let the rest of the taco's flavors sing, au natural (less fatty too).  note: to get the taco tuesday special all three tacos must be of the same type. otherwise you'll get charged full price for each individual taco ($3 each +/-)! during covid the dining room is closed.  they are also closed every wednesday but are otherwise  open until 1pm with additional dinner time hours on tu/fr/sa... yes, confusing, so double check :)  ample parking in back (which is also where you circle around to wait after you order at the side drive-through window).",1555
Neutral,5,0.935,"fresh eggs, home-grown greens and grass-fed meats. homemade soaps and  fresh-baked breads.  aroma of coffee roasting on-site fills the air--and if you buy a pound, you get a free cup from scott and denise (www.adventurecoffeeroasting.com) every sunday, 8 a.m. to 12 p.m.",271
Neutral,5,0.934,lunch special 11am to 2pm monday- friday $6.99 breakfast special 7am to 11am monday- friday $ 5.98 includes coffee. friday night fish fry (all you can eat) 4pm to 8pm $12.99.,174
Neutral,5,0.934,"che's lounge may feature offensive odors, patrons of ill-repute, crowds on the weekends, townies, college students, hipsters, construction workers, gringos and mexicanos. detractors will call it a dive bar and fans will call it a 4th ave institution onto itself. if you enjoy bars like this you will probably love che's, if you prefer not to be within arms-reach of people sporting a full set of tattoos you should find another establishment. they also happen to have the cheapest draft on 4th ave - $1.50 miller pints, any time.",529
Neutral,5,0.934,"happy hour = 1/2 price wine bottles and glasses, 1/2 price draft beers, 1/2 price sides & fries. plain and simple burger is $7.00",129
Neutral,5,0.934,"since moving to tucson, we've often seen stands with sonoran style hot dogs advertised; such places are often illumined with dim fluorescent lights playing against the smoke of grilling green onions and asada cuts of steak. karamelo king is one such mobile edifice, offering probably the most delicious hotdog i've ever eaten in my life for $2.50. since i'm originally from chicago these may seem like bold words, but everyone we've taken to try this humble trailer's wares is an instant convert. with a standard salsa cart that includes the sliced radishes, cucumbers and 6-7 types of sauce, free grilled onions and a menu that spans the standard burro to the namesake ""karamelo"" (essentially a quesidilla with juicy steak or chicken within), this spot caters to both midweek legitimate meal stops to 2 am cravings on saturday night. finding it may be tricky, since it resides in the parking lot of a now closed-down auto shop, but if you're heading west on grant, just watch your right side after passing the intersection @ alvernon. it's open every day except sundays, from an indeterminate time in the afternoon to midnight on weekdays, 3 am on fridays and saturdays.",1175
Neutral,1,0.934,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. los jilvertos: go somewhere else. green see photos.,173
Neutral,1,0.933,"i ordered ground beef enchiladas, 20 minutes later they gave me shredded beef. then they remade the order in 2 minutes and half the size of a normal order. stay away.",166
Neutral,1,0.933,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. el potosino: a lazy attempt. green see photos.,168
Neutral,1,0.933,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. maría's: yellow cartoon rat. green see photos.,168
Positive,2,0.942,"homely and comfortable place with good service. the country breakfast was way too greasy for my liking. eggs were decent. i like the cinnamon rolls and the jalapeño toast. overall, not a bad place but not a great one either.",224
Positive,2,0.94,nice place friendly buffet ok .not sure about there ribs but chicken and shrimp good .friendly. ladies wait on you good service,127
Positive,2,0.939,"service was friendly and quite good, which is the minimum you would expect from an over priced steak house. once in a while the waitress would come by with the table cumber (the metal crumb scraper thingy) to clean the table a bit. that's always a nice touch. the menu was decent in terms of selection. i eat out a lot (way more than i'd like or more than i probably should) and i'm no cheapskate. still, even for me $40+ for just a mediocre steak is a little hard to swallow (figuratively and literally).  and that's just for a plate with a cooked meat of some kind on it. sides? those are extra. if the mean was phenomenal, then i wouldn't bat an eye... we all decide to go with the combo meals (aka pre fixe menu) rather than order everything a-la-carte.  we sent back the bisque because it was way to salty. the steaks came out ok, but they were not really rubbed or seasoned from what i could tell. at the risk of sounding immodest, i prepare a much better steak on the grill at home. a nice rub, some simple salt and pepper, after cooking let sit a few minutes with little bit of butter melted on top. anyway, i ordered the salmon. it was cooked perfectly and tasted very good. i tasked the steak and it was just, meh. also, the inside could use a really good cleaning. the floor coming/going from the kitchen area into the main dining hall is well worn and grimy looking. it's not super well lighted (like most fancy steak houses) so i did not really check out the rest of the place for wear and tear.  i don't know - maybe it's must me - but if i'm dropping a couple hundred dollars on dinner, i expect a little more attention to detail and better food.",1663
Positive,2,0.939,"we went here last night. the cowboy waiter was cute and attentive. blue corn muffins had a good flavor, but seemed rather hard. got the quesadilla appetizer, half of which was scorched pretty good, but all a good flavor to it. we all tried each other's entree, the salmon was very good, the chicken was to die for. the pot roast was way too salty. tender, vegetables were good, but in the end, i couldn't keep eating it. my husband tasted it and said, oh dinty moore.. i got the apple blossom for dessert, whilst it was good, i expected more caramel flavor to it. my husband got the red ale, which he said was good. we might go back to try the all you can eat ribs. all in all, pleasant, other then my too salty put roast",721
Positive,2,0.938,"went here for breakfast today before a hair appointment. was happy to see a sign that said they now offer home fries. i am not a fan of hashbrowns. this is a seat yourself place, and coffee and iced water are served immediately, if you so choose. i do. i ordered scrambled eggs, bacon and homefries. the eggs were fine, a bit dry, but still soft and not overcooked. the bacon was really crispy, which is always good. the homefries appear to have been deep-fried instead of being cooked on a flat-top, but the inclusion of peppers and onions worked. you will need to add salt and pepper right off the bat, but service is friendly and attentive. not as inexpensive as you might expect, but my fave meal is breakfast cooked by someone other than me, with a bunch of coffee. i've had way worse. overall, an ok experience.",817
Positive,2,0.937,"vanilla cupcakes were just alright. nice ladies working in there. frosting was good, cake was a muffin. won't be returning.",123
Positive,2,0.937,"food was pretty good here. particularly liked the complimentary salsa, better than most places. service was shiesty! at first it wasn't even that bad. but about halfway through the meal our waitress disappeared. she'd occasionally re-appear, but never by our table. we needed two tortillas and some re-fills. my brother ultimately walked up to the counter and politely asked.  about twenty minutes later the other waitress came by and helped us out. she took off one of the meals of the tab, which was sweet.  i agree with other posters that one stop should be enough.",571
Positive,2,0.937,"service was great, everything we requested we received in a timely manner. okay chips and salsa. we ordered the chile relleno , chicken fajitas and the burger. first off, no way best burger in town, not even close. the other dishes okay but nothing special, had much better other places. but it was fresh and somewhat tasty.",324
Positive,2,0.936,"went here on monday night. ambiance is ok, pretty nice for an amtrak station. the beer selection isn't good - but they have a few decent taps. food is good, not spectacular. oh, and it's expensive. beer is $5-6 a pint, not terrible, though. overall a decent time but not a landmark.",282
Positive,2,0.935,"the staff is friendly and it seems to be fairly clean, the decor is nice. as for the food i can definitely say that i have had worse but also better. it is ok but not sure if i will return.",189
Positive,2,0.935,"not bad.  we tried the appetizer sampler, there wasn't as much food as i thought but it was good.  we tried the lo mein (beef, chicken and shrimp) which i really enjoyed.  we also tried the dragon and phoenix plate (i think that's what it was called)  and wasn't too impressed.  it was good but i expected more.  overall, it was a good experience, good service and nice atmosphere (no one else there).  it wasn't the best chinese restaurant we've been to, but i'd rank it somewhere in the middle.",496
Positive,2,0.934,"a good deli. had a chicago dog. great meats selection, need to return for sandwiches next. boars head",101
Positive,2,0.934,recently has veal piccatta and it was quite good. husband had veal marsala and it was even better. a friendly neighborhood restaurant that has good food.,153
Positive,2,0.933,"food was ok. great grilled vegetables. ""queso"" tasted like melted velveeta. carne asada with no tortillas? nice server but didn't know much about mexican food. good service, though.",181
Positive,2,0.933,"service was good. place had a nice environment, it is clean, and the restrooms were also neat and clean.  it was around 2 pm when i visited this place and they were serving brunch. i wasn't too impressed with their brunch menu, i had the pulled pork nachos. the pulled pork meat was more like diced pieces than a shredded meat that i was expecting, it was an alright taste. the cob chicken salad was fresh and the dressing was tasty, the meat loaf was alright. they do have good mimosas!  i may come back for the lunch or dinner menu, and check it out.",552
Positive,2,0.933,"i grew up on brooklyn italian food and the food here was a decent attempt.  liked the way the first half of the restaurant was decorated with the gingham red tablecloth, made it feel authentic.  back area blah. was there for lunch and had the chicken piccata lunch special.  my bad, should have told them not to use no butter, just olive oil.  just ok.  salad bar uninspiring, but minestrone soup was good, so was the service.",427
Positive,1,0.932,the owner made a good point for my original post so i'll amend it here. not particularly child friendly. sigh.,111
Positive,2,0.932,"ok, finally tried a sweet with their signature turtle custard and it tasted good enough, though i have had better elsewhere.",124
Positive,2,0.932,nice corner family restaurant. the ambiance isn't bad. southwest feel with plenty of televisions so you won't miss the game because your out with the family.  the food is ok. general american fair. most dishes do have a pre prepped by us foods feel.  the staff is friendly and for the most part attentive. the prices could come down as the food is not seller.  we've come several times as my daughters like the kids menu and the drawing paper and crayons.,458
Positive,2,0.931,"food was ok, prices are reasonable.  they did not accept the yelp coupon, but offered a military discount.",106
Very Positive,3,0.866,"perfecto mexican normally exceeds my expect-tastin's my friend, we back for more tacos tacos tacos, going locos for them tacos! uno - delicioso muy bueno! dos - local fresh ingredients and arizona beef and sustainable seafood!  tres - hand-made tortillas!  cuatro - convivial outdoors! good table spacing for covid! cinco - excellent service! seis - great value for quality! siete - covid protocol needs better social distancing at the order-up line!!! ocho - mi favorito es pork porque carne and pescado todas esta buenos! nueve - salsa yum yum oh chico! diez - loca en la cabeza para seis tacos! hold the fire - seis serving having an off day. our taco platters and refried beans barely warm - cold - and i like it hot - don't you? that's why i went 3 star today. we'll still be back but make sure tacos hot before server checks out!",837
Very Positive,1,0.856,"no i'm good ! your fronting on philly dog ! tomato on a cheese steak is a sin ! no amorosa rolls even if you have to ship them in ! forget bout it ! real south philly here bro ! jim's, johns, max's, chinks,etc... i could go on forever ! its pork roll man ! taylor ham is pure garbage ! case's, trenton pork roll, even thumans and or loefflers before taylor dude ! seven bucks for a pork roll sandwich ! crazy as hell ! nine bucks for some wings ! lol ! avoid this joint at all cost ! your better of eating nasty ass subway ! fugazi fuckery at this joint !",555
Very Positive,3,0.853,holy sodium!  everything would have been heavenly had it not been for the fact that i had to drink endless water to avoid dying of dehydration. skip the salt and you're a godsend also your location sucks.  i know at least 50 people who tried to order through doordash and you're out of the area.   you are so capable of blowing up and being so amazingly successful.   think about it.,387
Very Positive,3,0.853,"this could of easily be a 5 star review don't get me wrong. i am obsessed with teaholic! the teas are authentic, flavorful and they use real fruit for the fruit teas. toppings are made fresh and are delicious! the owner is absolutely a doll and welcoming.  why it is not 5 stars. the past two weeks one of their staff member were just flat out rude, wasn't helpful nor welcoming at all. my husband and i consider ourselves as regulars (we are obsessed) but this nasty service gotta stop! to the point where we just don't want to stop by anyone.  we wish this establishment the best! give it a shot, the drinks are amazing.",624
Very Positive,1,0.851,"this review is for the lakeside spa and fitness center only! the resort is the best i've ever stayed at, with the best customer service i've ever had! the young woman at the front desk check in at the resort was incredible and changed my room to one right off the lobby with the  best views. alex with poolside service was amazing. timothy at the concierge was incredible and helpful  and so was in room dining. this review needs to focus on the spa. it was the worst spa experience i have ever had hands-down. from the moment i walked in the older lady behind the counter looked annoyed to even be there. she got my name incorrect twice, didn't ask me to fill out the pertinent paperwork, then asked me if i knew where i was going and when i said no she said oh fine i'll have to show you then. at which point she handed me a robe to put on that smelled so foul i could tell it had not been washed. so she took me to the locker room and upon entering ignored me and started helping another guest whom couldn't figure out their locker. then she just walked out with me standing there. another client was standing there and had to talk me through how to do the locker. so when i was finished with that i changed my disgusting dirty robe out for a clean one that was in the locker. now for the massage. it was the most unprofessional inappropriate experience i have had to date. my massage therapist told me in detail about many things in her past that i would not be comfortable telling my own family. it was so awkward i didn't know how to get out of the conversation and she just kept going into detail about very private things. i cannot imagine why she would ever think it was ok to tell a complete stranger these things, nonetheless someone that she is giving a service to. after the 55 minutes of pure awkwardness, i went into the locker room to shower. when i stepped into the shower there were clumps of hair in the drain that were quite noticeable. it is so amazing that this bad of service is connected with the resort, because the resort is an absolute shining beacon. it makes me wonder if the spa is independently ran and owned? because they cannot have the same person over seeing it. if they do, something must be done at the spa, and if they don't, the person that runs and manages  has to be fired and replaced. i am still shuddering. i can't bring myself to name my massage therapist. as a person she seemed sweet but desperate to have someone listen to her unfortunate past. the types of details she told me belong in a mental health therapists office, not. a massage therapy setting and never being told to the client whom is a captive audience. please use this as a teachable moment with the spa staff. i am still uncomfortable thinking about it. .",2768
